Por Esta Cruz te Matarei,9780829707977,829707972,205,1979,PT,Bruce Olson,Vida,7
Os Quatro Amores,9788578601959,8578601955,189,2017,PT,C.S. Lewis,Thomas Nelson,8
Noites Brancas,9788573263350,8573263350,96,2009,PT,Fiodor Dostoievski,34,10
